date,open,high,low,close,volume,t3_7_BBL_54_2.0,tema_54_BBU_54_2.0,$signals,@exit,£order_executed_1,order_1,£order_executed_2,order_2,£order_executed_3,order_3,£order_executed_4,order_4,£order_executed_5,order_5
1738365240,230.43,230.43,230.23,230.24,1769.0,229.43608601232154,231.59138721475938,False,False,False,,False,,False,,False,,False,
1738365300,230.24,230.5,230.05,230.5,2446.5,229.481060827928,231.5796640975935,False,False,False,,False,,False,,False,,False,
1738365360,230.5,230.61,230.4,230.43,1514.1,229.52605709464387,231.56815151428628,False,False,False,,False,,False,,False,,False,
1738365420,230.43,230.6,230.37,230.59,605.7,229.56884814650653,231.55711764168046,False,False,False,,False,,False,,False,,False,
1738365480,230.59,230.91,230.52,230.89,2167.1,229.60806570013767,231.5467260217174,False,False,False,,False,,False,,False,,False,
1738365540,230.89,230.97,230.75,230.86,1641.8,229.6430796862653,231.53760531118223,False,False,False,,False,,False,,False,,False,
1738365600,230.86,230.91,230.8,230.86,620.3,229.6733240479482,231.52999674943564,False,False,False,,False,,False,,False,,False,
1738365660,230.86,230.94,230.74,230.93,557.9,229.6984739807424,231.52354262834868,False,False,False,,False,,False,,False,,False,
1738365720,230.93,230.93,230.77,230.92,590.3,229.7185176394895,231.51818311367148,False,False,False,,False,,False,,False,,False,
1738365780,230.92,230.95,230.87,230.92,296.0,229.7336195455158,231.513820387401,False,False,False,,False,,False,,False,,False,
1738365840,230.92,230.99,230.85,230.98,1252.8,229.7441784477503,231.51007857667173,False,False,False,,False,,False,,False,,False,
1738365900,230.98,231.06,230.66,230.66,3598.6,229.75071471553122,231.50620179169144,False,False,False,,False,,False,,False,,False,
1738365960,230.66,230.73,230.51,230.73,1193.0,229.75370159524925,231.50214665284653,False,False,False,,False,,False,,False,,False,
1738366020,230.73,230.84,230.64,230.8,1070.3,229.75402720387808,231.49867517550388,False,False,False,,False,,False,,False,,False,
1738366080,230.8,230.82,230.67,230.78,325.8,229.75251373331366,231.49563470964742,False,False,False,,False,,False,,False,,False,
1738366140,230.78,230.93,230.68,230.93,380.8,229.7497872687236,231.49273371124033,False,False,False,,False,,False,,False,,False,
1738366200,230.93,230.93,230.66,230.72,881.9,229.74636429327916,231.4888015004849,False,False,False,,False,,False,,False,,False,
